id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-14976,2021-05-17,000001,Vente,72000,2,,RUE GEN ROSTOLLAND,0390,05100,05023,Briançon,05,,,05023000AM0097,,,36,,,,,,,,,,1,2,Appartement,36,1,,,,,,6.636167,44.896255
2021-14977,2021-05-11,000001,Vente,108690,174,,CHE DE VIE DE CLARE,0975,05220,05079,Le Monêtier-les-Bains,05,,,05079000AB1129,,,113,,155,27,,,,,,,2,2,Appartement,27,2,,,,,,6.505199,44.976805
2021-14978,2021-05-07,000001,Vente,48920,6329,,FROZANE,B077,05200,05046,Embrun,05,,,050460000F1094,,,7,,,,,,,,,,1,2,Appartement,13,1,,,,,,6.465455,44.550108
2021-14979,2021-05-10,000001,Vente,192000,5797,,RTE DE PRE LONG,0611,05240,05161,La Salle-les-Alpes,05,,,05161000AM0742,,,209,40.75,3,,,,,,,,2,4,Local industriel. commercial ou assimilé,42,0,,,,,,6.556866,44.947284
2021-14980,2021-04-29,000001,Vente,80000,5446,,CLOT DES LEOTHAUDS,B022,05290,05110,Puy-Saint-Vincent,05,,,051100000F2677,,,6,,,,,,,,,,1,3,Dépendance,,0,,,,,,6.481456,44.816374
2021-14980,2021-04-29,000001,Vente,80000,5446,,CLOT DES LEOTHAUDS,B022,05290,05110,Puy-Saint-Vincent,05,,,051100000F2677,,,146,,228,32.89,,,,,,,2,2,Appartement,44,3,,,,,,6.481456,44.816374
2021-14981,2021-04-29,000001,Vente,129000,12,,RUE DU BARRY,0021,05130,05170,Tallard,05,,,051700000A0115,,,5,80.61,,,,,,,,,1,2,Appartement,80,5,,,,,,6.056002,44.462362
2021-14982,2021-05-20,000001,Vente,265000,5702,,LES RECULAS,B139,05800,05142,Saint-Firmin,05,,,051420000A0775,,,,,,,,,,,,,0,1,Maison,127,3,S,sols,,,1220,6.002973,44.793083
2021-14983,2021-04-30,000001,Vente,1500,,,LES GARCINS,B121,05380,05036,Châteauroux-les-Alpes,05,,,05036000AD0362,,,,,,,,,,,,,0,,,,,P,prés,,,21,6.529793,44.613012
2021-14984,2021-04-23,000001,Vente,355020,5000,,LES BONNETS,B020,05260,05145,Saint-Jean-Saint-Nicolas,05,,,051450000A0898,,,,,,,,,,,,,0,1,Maison,148,6,S,sols,,,690,6.21896,44.677228
2021-14985,2021-05-03,000001,Vente,60000,5,,RLE DE LA LICORNE,0098,05300,05178,Ventavon,05,,,051780000C0749,,,,,,,,,,,,,0,1,Maison,53,2,S,sols,,,86,5.905071,44.370741
2021-14986,2021-04-26,000001,Vente,165000,1,B,RUE DU PLAN D ERGUE,0100,05120,05006,L'Argentière-la-Bessée,05,,,050060000D3781,,,14,,8,77.89,,,,,,,2,2,Appartement,72,3,,,,,,6.558958,44.797302
2021-14987,2021-04-26,000001,Vente,83000,5005,,AU DELA DE L EAU,B118,05470,05003,Aiguilles,05,,,05003000AB0665,,,,,,,,,,,,,0,1,Maison,75,4,S,sols,,,124,6.870376,44.783387
2021-14987,2021-04-26,000001,Vente,83000,,,AU DELA DE L EAU,B118,05470,05003,Aiguilles,05,,,05003000AB0667,,,,,,,,,,,,,0,,,,,S,sols,,,80,6.870282,44.783359
2021-14988,2021-05-06,000001,Vente,133990,,,RES LES MELEZES D'OR,A241,05200,05098,Les Orres,05,,,050980000E2876,,,570,,658,50.58,,,,,,,2,4,Local industriel. commercial ou assimilé,52,0,,,,,,6.552575,44.485117
2021-14989,2021-05-18,000001,Vente,202000,5797,,RTE DE PRE LONG,0611,05240,05161,La Salle-les-Alpes,05,,,05161000AM0742,,,105,35.25,,,,,,,,,1,2,Appartement,41,2,,,,,,6.556866,44.947284
2021-14990,2021-05-18,000001,Vente,65000,5599,,LE VILLAGE DE RIBIERS,B062,05300,05118,Val Buëch-Méouge,05,,,051180000F0241,,,,,,,,,,,,,0,1,Maison,98,4,L,landes,,,3224,5.847597,44.211622
2021-14990,2021-05-18,000001,Vente,65000,5599,,LE VILLAGE DE RIBIERS,B062,05300,05118,Val Buëch-Méouge,05,,,051180000F0241,,,,,,,,,,,,,0,1,Maison,98,4,S,sols,,,1006,5.847597,44.211622
2021-14990,2021-05-18,000001,Vente,65000,,,LES CHARLES,B015,05300,05118,Val Buëch-Méouge,05,,,051180000F0242,,,,,,,,,,,,,0,,,,,S,sols,,,1375,5.845896,44.21094
2021-14990,2021-05-18,000001,Vente,65000,,,LES CHARLES,B015,05300,05118,Val Buëch-Méouge,05,,,051180000F0242,,,,,,,,,,,,,0,,,,,L,landes,,,30340,5.845896,44.21094
2021-14991,2021-05-12,000001,Vente,115000,5633,,MERLETTE,B202,05170,05096,Orcières,05,,,050960000C1558,,,1177,,1218,,,,,,,,2,4,Local industriel. commercial ou assimilé,41,0,,,,,,6.323503,44.697832
2021-14991,2021-05-12,000001,Vente,115000,5633,,MERLETTE,B202,05170,05096,Orcières,05,,,050960000C1558,,,1156,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,6.323503,44.697832
2021-14992,2021-04-28,000001,Vente,160000,20,B,RUE DU STADE,2050,05000,05061,Gap,05,,,05061000CD0128,,,,,,,,,,,,,0,2,Appartement,50,2,S,sols,,,536,6.069385,44.545889
2021-14992,2021-04-28,000001,Vente,160000,20,B,RUE DU STADE,2050,05000,05061,Gap,05,,,05061000CD0128,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,536,6.069385,44.545889
2021-14992,2021-04-28,000001,Vente,160000,20,B,RUE DU STADE,2050,05000,05061,Gap,05,,,05061000CD0128,,,,,,,,,,,,,0,2,Appartement,100,4,S,sols,,,536,6.069385,44.545889
2021-14992,2021-04-28,000001,Vente,160000,,,RUE DU STADE,2050,05000,05061,Gap,05,,,05061000CD0302,,,,,,,,,,,,,0,,,,,S,sols,,,161,6.069396,44.546358
2021-14992,2021-04-28,000001,Vente,160000,,,RUE DU STADE,2050,05000,05061,Gap,05,,,05061000CD0303,,,,,,,,,,,,,0,,,,,S,sols,,,128,6.069252,44.546133
2021-14993,2021-05-10,000001,Vente,197155,70,,RUE DES MELEZES,0598,05230,05017,La Bâtie-Neuve,05,,,05017000AB0031,,,,,,,,,,,,,0,1,Maison,136,6,S,sols,,,708,6.195603,44.56812
2021-14994,2021-05-18,000001,Vente,67500,5456,,PETIT LAUX,B138,05250,05139,Dévoluy,05,,,051390000K0084,,,12,28.06,,,,,,,,,1,4,Local industriel. commercial ou assimilé,27,0,,,,,,5.928307,44.68026
2021-14994,2021-05-18,000001,Vente,67500,5458,,PETIT LAUX,B138,05250,05139,Dévoluy,05,,,051390000K0084,,,128,,,,,,,,,,1,4,Local industriel. commercial ou assimilé,12,0,,,,,,5.928307,44.68026
2021-14995,2021-04-30,000001,Vente,603000,88,,AV DU COL D IZOARD,0180,05100,05023,Briançon,05,,,050230000C1286,,,,,,,,,,,,,0,2,Appartement,32,2,S,sols,,,450,6.642806,44.892687
2021-14995,2021-04-30,000001,Vente,603000,88,,AV DU COL D IZOARD,0180,05100,05023,Briançon,05,,,050230000C1286,,,,,,,,,,,,,0,2,Appartement,32,2,P,prés,,,1239,6.642806,44.892687
